rank	book_id	score	preview	start_line
1	40044	10.000000	﻿The Project Gutenberg eBook of Journal and Letters of Philip Vickers Fithian: A Plantation Tutor of the Old Dominion, 1773-1774	1
2	807	10.000000	﻿The Project Gutenberg eBook of Hunted Down: The Detective Stories of Charles Dickens	1
3	1340	10.000000	﻿The Project Gutenberg eBook of Autobiography of Andrew Dickson White — Volume 1	1
4	1370	10.000000	﻿The Project Gutenberg eBook of Autobiography of Andrew Dickson White — Volume 2	1
5	2678	10.000000	﻿The Project Gutenberg eBook of Poems by Emily Dickinson, Series One	1
6	2679	10.000000	﻿The Project Gutenberg eBook of Poems by Emily Dickinson, Series Two	1
7	11126	10.000000	﻿The Project Gutenberg eBook of Ten Girls from Dickens	1
8	11227	10.000000	﻿The Project Gutenberg eBook of Ten Boys from Dickens	1
9	12241	10.000000	﻿The Project Gutenberg eBook of Poems by Emily Dickinson, Third Series	1
10	12242	10.000000	﻿The Project Gutenberg eBook of Poems by Emily Dickinson, Three Series, Complete	1
11	25852	10.000000	﻿The Project Gutenberg eBook of The Letters of Charles Dickens. Vol. 1, 1833-1856	1
12	25853	10.000000	﻿The Project Gutenberg eBook of The Letters of Charles Dickens. Vol. 2, 1857-1870	1
13	25854	10.000000	﻿The Project Gutenberg eBook of The Letters of Charles Dickens. Vol. 3, 1836-1870	1
14	30127	10.000000	﻿The Project Gutenberg eBook of Tales from Dickens	1
15	32241	10.000000	﻿The Project Gutenberg eBook of Dickens' Stories About Children Every Child Can Read	1
16	35536	10.000000	﻿The Project Gutenberg eBook of The Poems and Verses of Charles Dickens	1
17	37121	10.000000	﻿The Project Gutenberg eBook of Charles Dickens' Children Stories	1
18	40729	10.000000	"﻿The Project Gutenberg eBook of ""Old Scrooge"": A Christmas Carol in Five Staves"	1
19	41739	10.000000	﻿The Project Gutenberg eBook of A Christmas Carol; Or, The Miser's Warning!	1
20	43207	10.000000	﻿The Project Gutenberg eBook of Scenes and Characters from the Works of Charles Dickens	1
